I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.009,0.016,0.025,,,,,,,,,
-0.008,0.033,0.041,,,,,,,,,
-0.013,0.027,0.041,,,,,,,,,
0.002,0.031,0.028,,,,,,,,,
-0.014,0.03,0.044,,,,,,,,,
-0.042,0.042,0.084,,,,,,,,,
-0.019,0.057,0.077,,,,,,,,,
-0.025,0.06,0.085,,,,,,,,,
-0.021,0.063,0.084,,,,,,,,,
0.014,0.064,0.05,,,,,,,,,
-0.023,0.081,0.104,,,,,,,,,
0.081,0.1,0.018,,,,,,,,,
0.126,0.102,-0.023,,,,,,,,,
0.063,0.11,0.047,,,,,,,,,
-0.001,0.12,0.121,,,,,,,,,
-0.036,0.135,0.171,,,,,,,,,
0.092,0.142,0.049,,,,,,,,,
0.1,0.148,0.047,,,,,,,,,
0.085,0.158,0.073,,,,,,,,,
0.105,0.172,0.067,,,,,,,,,
0.103,0.178,0.074,,,,,,,,,
0.108,0.196,0.088,,,,,,,,,
0.12,0.201,0.081,,,,,,,,,
0.118,0.199,0.08,,,,,,,,,
0.121,0.195,0.074,,,,,,,,,
0.122,0.194,0.072,,,,,,,,,
0.12,0.189,0.068,,,,,,,,,
0.124,0.191,0.067,,,,,,,,,
0.118,0.179,0.06,,,,,,,,,
0.1,0.16,0.059,,,,,,,,,
0.093,0.145,0.052,,,,,,,,,
0.077,0.128,0.051,,,,,,,,,
0.065,0.113,0.047,,,,,,,,,
0.05,0.096,0.046,,,,,,,,,
0.038,0.081,0.042,,,,,,,,,
0.027,0.068,0.04,,,,,,,,,
0.02,0.056,0.036,,,,,,,,,
0.009,0.044,0.035,,,,,,,,,
0.001,0.032,0.031,,,,,,,,,
-0.008,0.022,0.03,,,,,,,,,
-0.006,0.019,0.025,,,,,,,,,
-0.004,0.02,0.025,,,,,,,,,
-0.001,0.018,0.02,,,,,,,,,
-0.005,0.014,0.019,,,,,,,,,
0.0,0.015,0.014,,,,,,,,,
0.0,0.015,0.015,,,,,,,,,
-0.002,0.012,0.014,,,,,,,,,
-0.006,0.009,0.015,,,,,,,,,
-0.003,0.01,0.013,,,,,,,,,
-0.008,0.007,0.016,,,,,,,,,
-0.009,0.004,0.013,,,,,,,,,
