I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.04,0.1,0.06,,,,,,,,,
0.04,0.1,0.06,,,,,,,,,
0.04,0.1,0.06,,,,,,,,,
0.04,0.1,0.06,,,,,,,,,
0.04,0.1,0.06,,,,,,,,,
0.04,0.1,0.06,,,,,,,,,
0.04,0.104,0.064,,,,,,,,,
0.043,0.109,0.065,,,,,,,,,
0.045,0.11,0.065,,,,,,,,,
0.054,0.119,0.065,,,,,,,,,
0.075,0.14,0.065,,,,,,,,,
0.081,0.145,0.065,,,,,,,,,
0.077,0.145,0.068,,,,,,,,,
0.091,0.162,0.071,,,,,,,,,
0.113,0.183,0.07,,,,,,,,,
0.115,0.185,0.07,,,,,,,,,
0.115,0.184,0.07,,,,,,,,,
0.118,0.188,0.071,,,,,,,,,
0.122,0.19,0.068,,,,,,,,,
0.126,0.191,0.065,,,,,,,,,
0.13,0.195,0.065,,,,,,,,,
0.134,0.199,0.065,,,,,,,,,
0.141,0.206,0.065,,,,,,,,,
0.148,0.213,0.065,,,,,,,,,
0.15,0.215,0.065,,,,,,,,,
0.145,0.21,0.065,,,,,,,,,
0.14,0.205,0.065,,,,,,,,,
0.14,0.205,0.065,,,,,,,,,
0.138,0.203,0.065,,,,,,,,,
0.135,0.2,0.065,,,,,,,,,
0.135,0.2,0.065,,,,,,,,,
0.131,0.196,0.065,,,,,,,,,
0.129,0.191,0.062,,,,,,,,,
0.131,0.19,0.059,,,,,,,,,
0.129,0.189,0.06,,,,,,,,,
0.125,0.185,0.06,,,,,,,,,
0.125,0.185,0.06,,,,,,,,,
0.12,0.18,0.06,,,,,,,,,
0.111,0.171,0.06,,,,,,,,,
0.103,0.163,0.06,,,,,,,,,
0.095,0.155,0.06,,,,,,,,,
0.087,0.147,0.06,,,,,,,,,
0.078,0.138,0.06,,,,,,,,,
0.074,0.134,0.06,,,,,,,,,
0.067,0.127,0.06,,,,,,,,,
0.05,0.11,0.06,,,,,,,,,
0.042,0.098,0.056,,,,,,,,,
0.032,0.086,0.054,,,,,,,,,
0.018,0.074,0.056,,,,,,,,,
0.009,0.063,0.054,,,,,,,,,
0.005,0.055,0.05,,,,,,,,,
-0.003,0.047,0.05,,,,,,,,,
-0.011,0.039,0.05,,,,,,,,,
-0.019,0.031,0.05,,,,,,,,,
-0.026,0.023,0.049,,,,,,,,,
-0.03,0.015,0.045,,,,,,,,,
-0.034,0.011,0.045,,,,,,,,,
-0.038,0.007,0.045,,,,,,,,,
-0.043,0.003,0.045,,,,,,,,,
-0.044,0.0,0.044,,,,,,,,,
-0.04,0.0,0.04,,,,,,,,,
-0.043,-0.004,0.04,,,,,,,,,
-0.049,-0.009,0.041,,,,,,,,,
-0.048,-0.01,0.038,,,,,,,,,
-0.045,-0.011,0.035,,,,,,,,,
-0.05,-0.015,0.035,,,,,,,,,
-0.05,-0.015,0.035,,,,,,,,,
-0.054,-0.018,0.036,,,,,,,,,
-0.053,-0.02,0.033,,,,,,,,,
-0.05,-0.021,0.03,,,,,,,,,
-0.055,-0.025,0.03,,,,,,,,,
-0.055,-0.025,0.03,,,,,,,,,
-0.059,-0.028,0.03,,,,,,,,,
-0.058,-0.03,0.028,,,,,,,,,
-0.055,-0.031,0.025,,,,,,,,,
-0.06,-0.035,0.025,,,,,,,,,
-0.06,-0.035,0.025,,,,,,,,,
-0.06,-0.038,0.022,,,,,,,,,
-0.06,-0.04,0.02,,,,,,,,,
-0.061,-0.041,0.02,,,,,,,,,
-0.065,-0.045,0.02,,,,,,,,,
-0.065,-0.045,0.02,,,,,,,,,
-0.065,-0.048,0.017,,,,,,,,,
-0.065,-0.051,0.014,,,,,,,,,
-0.065,-0.05,0.015,,,,,,,,,
-0.065,-0.05,0.015,,,,,,,,,
-0.065,-0.05,0.015,,,,,,,,,
-0.062,-0.05,0.012,,,,,,,,,
-0.059,-0.05,0.009,,,,,,,,,
-0.06,-0.05,0.01,,,,,,,,,
-0.06,-0.05,0.01,,,,,,,,,
-0.056,-0.05,0.006,,,,,,,,,
-0.054,-0.05,0.005,,,,,,,,,
-0.055,-0.05,0.005,,,,,,,,,
-0.054,-0.049,0.005,,,,,,,,,
-0.05,-0.045,0.005,,,,,,,,,
-0.046,-0.045,0.001,,,,,,,,,
-0.045,-0.045,0.0,,,,,,,,,
-0.045,-0.045,0.0,,,,,,,,,
-0.045,-0.045,0.0,,,,,,,,,
-0.045,-0.045,0.0,,,,,,,,,
