I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.14,-0.069,0.069,,,,,,,,,
-0.161,-0.072,0.088,,,,,,,,,
-0.14,-0.07,0.069,,,,,,,,,
-0.128,-0.068,0.059,,,,,,,,,
-0.14,-0.07,0.07,,,,,,,,,
-0.148,-0.071,0.077,,,,,,,,,
-0.14,-0.07,0.069,,,,,,,,,
-0.133,-0.068,0.064,,,,,,,,,
-0.14,-0.069,0.07,,,,,,,,,
-0.145,-0.071,0.074,,,,,,,,,
-0.14,-0.07,0.07,,,,,,,,,
-0.133,-0.066,0.066,,,,,,,,,
-0.132,-0.061,0.07,,,,,,,,,
-0.131,-0.058,0.072,,,,,,,,,
-0.122,-0.053,0.068,,,,,,,,,
-0.117,-0.049,0.067,,,,,,,,,
-0.12,-0.046,0.074,,,,,,,,,
-0.123,-0.042,0.08,,,,,,,,,
-0.118,-0.037,0.079,,,,,,,,,
-0.109,-0.033,0.075,,,,,,,,,
-0.105,-0.029,0.075,,,,,,,,,
-0.101,-0.026,0.075,,,,,,,,,
-0.096,-0.021,0.075,,,,,,,,,
-0.091,-0.018,0.074,,,,,,,,,
-0.091,-0.015,0.076,,,,,,,,,
-0.086,-0.009,0.076,,,,,,,,,
-0.075,-0.002,0.073,,,,,,,,,
-0.07,-0.001,0.069,,,,,,,,,
-0.082,-0.012,0.07,,,,,,,,,
-0.104,-0.033,0.071,,,,,,,,,
-0.12,-0.049,0.07,,,,,,,,,
-0.121,-0.051,0.068,,,,,,,,,
-0.114,-0.043,0.069,,,,,,,,,
-0.106,-0.036,0.07,,,,,,,,,
-0.099,-0.032,0.067,,,,,,,,,
-0.094,-0.03,0.063,,,,,,,,,
-0.091,-0.025,0.063,,,,,,,,,
-0.087,-0.021,0.065,,,,,,,,,
-0.082,-0.017,0.064,,,,,,,,,
-0.078,-0.014,0.064,,,,,,,,,
-0.074,-0.009,0.065,,,,,,,,,
-0.07,-0.005,0.064,,,,,,,,,
-0.062,-0.001,0.061,,,,,,,,,
-0.056,0.001,0.058,,,,,,,,,
-0.053,0.005,0.059,,,,,,,,,
-0.056,0.004,0.06,,,,,,,,,
-0.06,0.0,0.061,,,,,,,,,
-0.066,-0.007,0.059,,,,,,,,,
-0.07,-0.01,0.059,,,,,,,,,
-0.067,-0.009,0.057,,,,,,,,,
-0.06,-0.005,0.055,,,,,,,,,
-0.054,-0.001,0.053,,,,,,,,,
-0.055,0.0,0.054,,,,,,,,,
-0.056,0.0,0.056,,,,,,,,,
-0.056,0.0,0.056,,,,,,,,,
-0.053,0.0,0.054,,,,,,,,,
-0.052,0.001,0.052,,,,,,,,,
-0.048,0.002,0.051,,,,,,,,,
-0.042,0.005,0.05,,,,,,,,,
-0.039,0.008,0.048,,,,,,,,,
-0.04,0.009,0.05,,,,,,,,,
-0.043,0.009,0.05,,,,,,,,,
-0.042,0.008,0.05,,,,,,,,,
-0.035,0.013,0.048,,,,,,,,,
-0.026,0.019,0.046,,,,,,,,,
-0.021,0.025,0.045,,,,,,,,,
-0.02,0.025,0.044,,,,,,,,,
-0.022,0.021,0.043,,,,,,,,,
-0.026,0.018,0.045,,,,,,,,,
-0.026,0.018,0.046,,,,,,,,,
-0.025,0.019,0.045,,,,,,,,,
-0.023,0.02,0.043,,,,,,,,,
-0.024,0.02,0.043,,,,,,,,,
-0.026,0.019,0.046,,,,,,,,,
-0.03,0.019,0.049,,,,,,,,,
-0.034,0.02,0.054,,,,,,,,,
-0.042,0.019,0.061,,,,,,,,,
-0.048,0.019,0.068,,,,,,,,,
-0.05,0.019,0.07,,,,,,,,,
-0.047,0.02,0.067,,,,,,,,,
-0.044,0.02,0.065,,,,,,,,,
-0.043,0.02,0.064,,,,,,,,,
-0.041,0.023,0.065,,,,,,,,,
-0.037,0.027,0.065,,,,,,,,,
-0.033,0.032,0.066,,,,,,,,,
-0.03,0.035,0.065,,,,,,,,,
-0.027,0.036,0.063,,,,,,,,,
-0.025,0.035,0.06,,,,,,,,,
-0.025,0.035,0.06,,,,,,,,,
-0.024,0.034,0.06,,,,,,,,,
-0.025,0.035,0.06,,,,,,,,,
-0.024,0.035,0.059,,,,,,,,,
-0.022,0.038,0.06,,,,,,,,,
-0.016,0.043,0.059,,,,,,,,,
-0.007,0.05,0.057,,,,,,,,,
0.0,0.054,0.054,,,,,,,,,
0.0,0.054,0.053,,,,,,,,,
-0.003,0.05,0.054,,,,,,,,,
-0.006,0.049,0.055,,,,,,,,,
-0.005,0.049,0.055,,,,,,,,,
-0.004,0.05,0.054,,,,,,,,,
-0.005,0.048,0.053,,,,,,,,,
-0.004,0.046,0.051,,,,,,,,,
-0.004,0.044,0.048,,,,,,,,,
-0.004,0.045,0.049,,,,,,,,,
-0.005,0.044,0.05,,,,,,,,,
-0.007,0.043,0.051,,,,,,,,,
-0.008,0.041,0.05,,,,,,,,,
-0.01,0.039,0.049,,,,,,,,,
-0.01,0.037,0.047,,,,,,,,,
-0.004,0.04,0.045,,,,,,,,,
0.005,0.048,0.044,,,,,,,,,
0.013,0.058,0.045,,,,,,,,,
0.014,0.06,0.046,,,,,,,,,
0.011,0.057,0.045,,,,,,,,,
0.01,0.055,0.044,,,,,,,,,
0.017,0.06,0.043,,,,,,,,,
0.029,0.07,0.041,,,,,,,,,
0.037,0.077,0.039,,,,,,,,,
0.04,0.08,0.039,,,,,,,,,
0.04,0.08,0.04,,,,,,,,,
0.039,0.08,0.04,,,,,,,,,
0.04,0.08,0.04,,,,,,,,,
0.04,0.078,0.038,,,,,,,,,
0.04,0.076,0.037,,,,,,,,,
0.039,0.075,0.035,,,,,,,,,
0.039,0.074,0.033,,,,,,,,,
0.04,0.073,0.033,,,,,,,,,
0.04,0.074,0.035,,,,,,,,,
0.039,0.075,0.035,,,,,,,,,
0.039,0.074,0.035,,,,,,,,,
0.039,0.072,0.033,,,,,,,,,
0.038,0.072,0.033,,,,,,,,,
0.04,0.077,0.037,,,,,,,,,
0.043,0.085,0.04,,,,,,,,,
0.045,0.089,0.044,,,,,,,,,
0.042,0.088,0.046,,,,,,,,,
0.036,0.082,0.046,,,,,,,,,
0.032,0.078,0.044,,,,,,,,,
0.03,0.074,0.044,,,,,,,,,
0.025,0.069,0.045,,,,,,,,,
0.018,0.064,0.045,,,,,,,,,
0.02,0.064,0.045,,,,,,,,,
0.035,0.079,0.044,,,,,,,,,
0.06,0.104,0.045,,,,,,,,,
0.078,0.123,0.045,,,,,,,,,
0.083,0.129,0.045,,,,,,,,,
0.078,0.123,0.044,,,,,,,,,
0.071,0.117,0.045,,,,,,,,,
0.069,0.114,0.045,,,,,,,,,
0.069,0.115,0.045,,,,,,,,,
0.07,0.115,0.044,,,,,,,,,
0.07,0.115,0.045,,,,,,,,,
0.068,0.113,0.045,,,,,,,,,
0.067,0.112,0.045,,,,,,,,,
0.065,0.11,0.044,,,,,,,,,
0.064,0.11,0.045,,,,,,,,,
0.064,0.11,0.045,,,,,,,,,
0.064,0.109,0.045,,,,,,,,,
0.062,0.106,0.044,,,,,,,,,
0.059,0.104,0.045,,,,,,,,,
0.057,0.104,0.046,,,,,,,,,
0.056,0.104,0.048,,,,,,,,,
0.054,0.104,0.05,,,,,,,,,
0.051,0.103,0.051,,,,,,,,,
0.049,0.1,0.05,,,,,,,,,
0.049,0.096,0.048,,,,,,,,,
0.049,0.095,0.045,,,,,,,,,
0.049,0.094,0.045,,,,,,,,,
0.05,0.095,0.044,,,,,,,,,
0.05,0.095,0.045,,,,,,,,,
0.047,0.092,0.045,,,,,,,,,
0.045,0.091,0.045,,,,,,,,,
0.045,0.09,0.044,,,,,,,,,
