I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.135,-0.075,0.059,,,,,,,,,
-0.153,-0.102,0.05,,,,,,,,,
-0.134,-0.075,0.06,,,,,,,,,
-0.125,-0.06,0.065,,,,,,,,,
-0.134,-0.074,0.06,,,,,,,,,
-0.14,-0.084,0.056,,,,,,,,,
-0.138,-0.077,0.061,,,,,,,,,
-0.134,-0.07,0.063,,,,,,,,,
-0.13,-0.072,0.057,,,,,,,,,
-0.124,-0.07,0.053,,,,,,,,,
-0.135,-0.075,0.06,,,,,,,,,
-0.173,-0.097,0.075,,,,,,,,,
-0.205,-0.115,0.09,,,,,,,,,
-0.178,-0.081,0.095,,,,,,,,,
-0.098,-0.003,0.095,,,,,,,,,
-0.029,0.061,0.09,,,,,,,,,
-0.017,0.069,0.087,,,,,,,,,
-0.033,0.052,0.084,,,,,,,,,
-0.029,0.055,0.083,,,,,,,,,
-0.001,0.081,0.082,,,,,,,,,
0.019,0.099,0.08,,,,,,,,,
0.017,0.094,0.077,,,,,,,,,
0.0,0.076,0.076,,,,,,,,,
-0.016,0.057,0.073,,,,,,,,,
-0.029,0.042,0.071,,,,,,,,,
-0.036,0.033,0.069,,,,,,,,,
-0.04,0.029,0.07,,,,,,,,,
-0.042,0.028,0.07,,,,,,,,,
-0.045,0.024,0.069,,,,,,,,,
-0.046,0.02,0.066,,,,,,,,,
-0.045,0.019,0.065,,,,,,,,,
-0.044,0.019,0.064,,,,,,,,,
-0.047,0.016,0.065,,,,,,,,,
-0.053,0.011,0.065,,,,,,,,,
-0.057,0.009,0.066,,,,,,,,,
-0.058,0.006,0.065,,,,,,,,,
-0.059,0.002,0.063,,,,,,,,,
-0.06,0.0,0.06,,,,,,,,,
-0.06,-0.001,0.06,,,,,,,,,
-0.063,-0.002,0.06,,,,,,,,,
-0.064,-0.004,0.059,,,,,,,,,
-0.062,-0.003,0.059,,,,,,,,,
-0.056,0.003,0.059,,,,,,,,,
-0.054,0.008,0.061,,,,,,,,,
-0.057,0.008,0.065,,,,,,,,,
-0.061,0.008,0.069,,,,,,,,,
-0.061,0.011,0.073,,,,,,,,,
-0.06,0.014,0.074,,,,,,,,,
-0.057,0.017,0.073,,,,,,,,,
-0.051,0.02,0.071,,,,,,,,,
-0.044,0.025,0.07,,,,,,,,,
-0.042,0.028,0.069,,,,,,,,,
-0.041,0.029,0.07,,,,,,,,,
-0.038,0.03,0.069,,,,,,,,,
-0.031,0.035,0.067,,,,,,,,,
-0.029,0.035,0.065,,,,,,,,,
-0.035,0.029,0.065,,,,,,,,,
-0.046,0.018,0.065,,,,,,,,,
-0.052,0.011,0.063,,,,,,,,,
-0.055,0.005,0.061,,,,,,,,,
-0.06,0.0,0.06,,,,,,,,,
-0.066,-0.007,0.059,,,,,,,,,
-0.075,-0.014,0.06,,,,,,,,,
-0.084,-0.023,0.06,,,,,,,,,
-0.092,-0.031,0.061,,,,,,,,,
-0.095,-0.034,0.06,,,,,,,,,
-0.087,-0.029,0.057,,,,,,,,,
-0.075,-0.02,0.055,,,,,,,,,
-0.064,-0.009,0.054,,,,,,,,,
-0.057,-0.001,0.055,,,,,,,,,
-0.049,0.005,0.054,,,,,,,,,
-0.04,0.011,0.053,,,,,,,,,
-0.03,0.02,0.051,,,,,,,,,
-0.019,0.03,0.05,,,,,,,,,
-0.01,0.039,0.049,,,,,,,,,
-0.01,0.039,0.049,,,,,,,,,
-0.017,0.03,0.047,,,,,,,,,
-0.031,0.013,0.045,,,,,,,,,
-0.046,-0.002,0.044,,,,,,,,,
-0.059,-0.016,0.043,,,,,,,,,
-0.069,-0.025,0.044,,,,,,,,,
-0.076,-0.03,0.046,,,,,,,,,
-0.08,-0.034,0.045,,,,,,,,,
-0.077,-0.035,0.043,,,,,,,,,
-0.071,-0.033,0.038,,,,,,,,,
-0.069,-0.033,0.035,,,,,,,,,
-0.073,-0.041,0.032,,,,,,,,,
-0.072,-0.042,0.03,,,,,,,,,
-0.052,-0.023,0.029,,,,,,,,,
-0.021,0.006,0.027,,,,,,,,,
-0.015,0.009,0.024,,,,,,,,,
-0.051,-0.029,0.022,,,,,,,,,
-0.1,-0.081,0.021,,,,,,,,,
-0.116,-0.096,0.02,,,,,,,,,
-0.088,-0.064,0.022,,,,,,,,,
-0.048,-0.012,0.034,,,,,,,,,
-0.027,0.028,0.056,,,,,,,,,
-0.025,0.051,0.077,,,,,,,,,
-0.028,0.06,0.088,,,,,,,,,
-0.037,0.049,0.086,,,,,,,,,
-0.054,0.025,0.079,,,,,,,,,
